	Compounds	WT_14w	WT_22w	C_14w	C_22w	B_14w	B_22w	W_14w	W_22w	P_14w	P_22w	HMDB	kegg_map
65	D-Fructose	17.8040952885653	17.656477433993	17.5580287080813	17.6210702090543	17.5222107750437	17.1713985680214	17.2965333210342	17.0247860221349	17.5469714983719	17.0193120352269	HMDB0001076	-
66	D-Galactose	16.7838562011575	16.7364533177572	16.8289529400541	16.7256065900589	16.726637780636	16.7317597429765	16.9125022848645	16.7373667791047	16.9386667217794	16.7073815918371	HMDB0000143	ko00052,ko01100,ko04973,ko04978
67	D-Glucose	14.8518203470141	14.793226175048	14.7166448238378	14.6085651894347	14.9002174312272	14.9075760242856	14.9468459881971	14.952413315405	15.0406839001781	14.7174335884825	HMDB0000122	ko00010,ko00030,ko00052,ko00500,ko00520,ko00524,ko01100,ko02010,ko04066,ko04068,ko04152,ko04742,ko04910,ko04911,ko04917,ko04922,ko04930,ko04931,ko04932,ko04933,ko04973,ko04976,ko04978,ko05230,ko05415
68	D-Glucose 6-Phosphate	15.1770702984645	15.3856373183136	14.9096748075995	14.9675298559881	15.0202707238115	15.3814482710139	14.585817916955	14.7748734860754	15.1242643370955	14.6373962320953	HMDB0001401	ko00500,ko00524,ko00562,ko01100,ko04911,ko04917,ko04918,ko04931,ko04973,ko05230,ko05415
69	D-Tagatose	14.8518203470141	14.793226175048	14.7166448238378	14.6085651894347	14.9002174312272	14.9075760242856	14.9468459881971	14.952413315405	15.0406839001781	14.7174335884825	HMDB0003418	ko00052,ko01100
70	Dihydro-D-sphingosine	15.8491321298923	15.6633240136229	15.8882795647091	15.9718999252252	15.4140600546084	15.4391188386614	15.662058208461	10.4889816451008	15.4306476136374	16.0560737950729	HMDB0000269	ko00600,ko01100,ko04071
71	Dihydrocaffeic acid	12.0829441200353	12.1976194841606	12.2664591612179	11.8839212528145	13.9421056730412	14.1298967506333	14.3866145916728	14.4248498816154	13.9770896509172	13.5818084720263	HMDB0000423	-
72	DL-3,4-Dihydroxyphenyl glycol	12.9154475958899	12.6311801702801	13.1066108561072	12.5961354474693	13.0074890120902	12.5533909145186	13.1956028092197	12.930067577903	12.9119884556163	12.6938358171772	HMDB0000318	ko00350,ko01100
73	EPA	13.4445136720074	13.7261222678112	14.0462778632751	13.8303924127957	13.6953826604422	13.7467677347192	13.0315815129536	13.3244382420735	13.5409378610535	13.4396774974098	HMDB0001999	ko01040
74	Estriol	3.02504191358505	2.30258509299405	2.30258509299405	2.30258509299405	13.8031645793431	13.7007415050002	14.3498957740707	14.3113009757965	8.57103063367034	7.96205220101007	HMDB0000153	-
